County,State,CenReg,CenDiv,EMMReg
21167,21,3,6,15
21169,21,3,6,15
21171,21,3,6,15
21173,21,3,6,15
21175,21,3,6,11
21177,21,3,6,15
21179,21,3,6,15
21181,21,3,6,15
21183,21,3,6,15
21185,21,3,6,15
21187,21,3,6,15
21189,21,3,6,15
21191,21,3,6,15
21193,21,3,6,11
21195,21,3,6,11
21197,21,3,6,15
21199,21,3,6,15
21201,21,3,6,15
21203,21,3,6,15
21205,21,3,6,15
21207,21,3,6,15
21209,21,3,6,15
21211,21,3,6,15
21213,21,3,6,15
21215,21,3,6,15
21217,21,3,6,15
21219,21,3,6,15
21221,21,3,6,15
21223,21,3,6,15
21225,21,3,6,15
21227,21,3,6,15
21229,21,3,6,15
21231,21,3,6,15
21233,21,3,6,15
21235,21,3,6,15
21237,21,3,6,15
21239,21,3,6,15
22001,22,3,7,18
22003,22,3,7,18
22005,22,3,7,12
22007,22,3,7,12
22009,22,3,7,12
22011,22,3,7,18
22013,22,3,7,12
22015,22,3,7,18
22017,22,3,7,18
22019,22,3,7,12
22021,22,3,7,12
22023,22,3,7,12
22025,22,3,7,12
22027,22,3,7,12
22029,22,3,7,18
22031,22,3,7,18
22033,22,3,7,12
22035,22,3,7,12
22037,22,3,7,12
22039,22,3,7,18
22041,22,3,7,12
22043,22,3,7,18
22045,22,3,7,18
22047,22,3,7,12
22049,22,3,7,12
22051,22,3,7,12
22053,22,3,7,12
22055,22,3,7,12
22057,22,3,7,12
22059,22,3,7,18
22061,22,3,7,12
22063,22,3,7,12
22065,22,3,7,12
22067,22,3,7,12
22069,22,3,7,18
22071,22,3,7,12
22073,22,3,7,12
22075,22,3,7,12
22077,22,3,7,12
22079,22,3,7,18
22081,22,3,7,12
22083,22,3,7,12
22085,22,3,7,18
22087,22,3,7,12
22089,22,3,7,12
22091,22,3,7,12
22093,22,3,7,12
22095,22,3,7,12
22097,22,3,7,18
22099,22,3,7,12
22101,22,3,7,12
22103,22,3,7,12
22105,22,3,7,12
22107,22,3,7,12
22109,22,3,7,12
22111,22,3,7,12
22113,22,3,7,12
22115,22,3,7,12
22117,22,3,7,12
22119,22,3,7,12
22121,22,3,7,12
22123,22,3,7,12
22125,22,3,7,12
22127,22,3,7,12
23001,23,1,1,5
23003,23,1,1,5
23005,23,1,1,5
23007,23,1,1,5
23009,23,1,1,5
23011,23,1,1,5
23013,23,1,1,5
23015,23,1,1,5
23017,23,1,1,5
23019,23,1,1,5
23021,23,1,1,5
23023,23,1,1,5
23025,23,1,1,5
23027,23,1,1,5
23029,23,1,1,5
23031,23,1,1,5
24001,24,3,5,11
24003,24,3,5,9
24005,24,3,5,9
24009,24,3,5,9
24011,24,3,5,9
24013,24,3,5,9
24015,24,3,5,9
24017,24,3,5,9
24019,24,3,5,9
24021,24,3,5,11
24023,24,3,5,11
24025,24,3,5,9
24027,24,3,5,9
24029,24,3,5,9
24031,24,3,5,9
24033,24,3,5,9
24035,24,3,5,9
24037,24,3,5,9
24039,24,3,5,9
24041,24,3,5,9
24043,24,3,5,11
24045,24,3,5,9
24047,24,3,5,9
24510,24,3,5,9
25001,25,1,1,5
25003,25,1,1,5
25005,25,1,1,5
25007,25,1,1,5
25009,25,1,1,5
25011,25,1,1,5
25013,25,1,1,5
25015,25,1,1,5
25017,25,1,1,5
25019,25,1,1,5
25021,25,1,1,5
25023,25,1,1,5
25025,25,1,1,5
25027,25,1,1,5
26001,26,2,4,10
26003,26,2,4,3
26005,26,2,4,10
26007,26,2,4,10
26009,26,2,4,10
26011,26,2,4,10
26013,26,2,4,3
26015,26,2,4,10
26017,26,2,4,10
26019,26,2,4,10
26021,26,2,4,11
26023,26,2,4,10
26025,26,2,4,10
26027,26,2,4,10
26029,26,2,4,10
26031,26,2,4,10
26033,26,2,4,11
26035,26,2,4,10
26037,26,2,4,10
26039,26,2,4,10
26041,26,2,4,11
26043,26,2,4,11
26045,26,2,4,10
26047,26,2,4,10
26049,26,2,4,10
26051,26,2,4,10
26053,26,2,4,4
26055,26,2,4,10
26057,26,2,4,10
26059,26,2,4,10
26061,26,2,4,3
26063,26,2,4,10
26065,26,2,4,10
26067,26,2,4,10
26069,26,2,4,10
26071,26,2,4,11
26073,26,2,4,10
26075,26,2,4,10
26077,26,2,4,10
26079,26,2,4,10
26081,26,2,4,10
26083,26,2,4,3
26085,26,2,4,10
26087,26,2,4,10
26089,26,2,4,10
26091,26,2,4,10
26093,26,2,4,10
26095,26,2,4,11
26097,26,2,4,11
26099,26,2,4,10
26101,26,2,4,10
26103,26,2,4,11
26105,26,2,4,10
26107,26,2,4,10
26109,26,2,4,11
26111,26,2,4,10
26113,26,2,4,10
26115,26,2,4,10
26117,26,2,4,10
26119,26,2,4,10
26121,26,2,4,10
26123,26,2,4,10
