Sector,emis,region_cd,region,emis_base,emis_2020,emis_2030,emis_2040,emis_2050,GF_2020,GF_2030,GF_2040,GF_2050
residential,VOC,8,mountain,22.7602050182653,17.874542813014,15.3836035623027,13.2862551851596,11.8710966282163,0.785341907011359,0.675899164790353,0.583749363175649,0.521572482264092
commercial,BC,1,new england,0.00563135864171517,0.005476642282731,0.005476642282731,0.005476642282731,0.005476642282731,0.972525926898336,0.972525926898336,0.972525926898336,0.972525926898336
residential,BC,1,new england,0,0,0,0,0,NA,NA,NA,NA
commercial,CH4,1,new england,0.261532666666667,0.23442,0.234496,0.240582,0.25365,0.896331624602663,0.896622219276623,0.919892734878243,0.969859724342912
residential,CH4,1,new england,0.4698339315,0.443058039,0.407027288,0.374613249,0.352247075,0.943009879225805,0.86632161006447,0.797331192755711,0.74972676808465
commercial,CO,1,new england,10.1254183488633,8.54390877592427,8.62818375697978,8.89385042988721,9.39858316953153,0.843807977265794,0.852131088287175,0.878368687935317,0.928216775417152
residential,CO,1,new england,173.635708373738,140.159761874669,116.500434950817,96.9870601667107,83.0869868176823,0.80720586328352,0.670947445326504,0.558566328752799,0.478513248201479
commercial,CO2,1,new england,0.261532666666667,0.23442,0.234496,0.240582,0.25365,0.896331624602663,0.896622219276623,0.919892734878243,0.969859724342912
residential,CO2,1,new england,0.4698339315,0.443058039,0.407027288,0.374613249,0.352247075,0.943009879225805,0.86632161006447,0.797331192755711,0.74972676808465
commercial,NOX,1,new england,14.1689255567233,11.8849474729443,11.8948613341816,12.1645191495593,12.7914518486064,0.838803720533687,0.839503410937,0.858535045643398,0.902782063283321
residential,NOX,1,new england,26.6584903020992,24.5500064351317,22.0617885918704,19.9885368920984,18.5641419683762,0.920907604178864,0.8275708167215,0.749800032394346,0.696368840020711
commercial,OC,1,new england,0.0112627172745432,0.010953284556819,0.010953284556819,0.010953284556819,0.010953284556819,0.972525926898334,0.972525926898334,0.972525926898334,0.972525926898334
residential,OC,1,new england,0,0,0,0,0,NA,NA,NA,NA
commercial,PM10.PRI,1,new england,0.991340542746305,1.1227515504831,1.07122587857503,1.05052970433244,1.05746876576469,1.13255889582883,1.08058314210314,1.05970618474068,1.0667058595578
residential,PM10.PRI,1,new england,24.1754661704201,19.4592282121348,16.0345615476065,13.2588583758013,11.2849762435078,0.804916359211479,0.663257594892858,0.548442718015677,0.466794566191883
commercial,PM25.PRI,1,new england,0.9243111078904,1.04004273682501,0.997207634053565,0.983691844938649,0.996298337459993,1.12520852334962,1.07886579046912,1.06424323643992,1.07788203447419
residential,PM25.PRI,1,new england,20.8444384357308,16.7806544689089,13.825393210665,11.4315781549032,9.7294310715507,0.805042290808088,0.663265323903668,0.548423417121547,0.466763885318822
commercial,SO2,1,new england,11.1877120249637,13.7004598360841,12.2231566483748,11.0043272258387,10.0528675973621,1.22459889971369,1.09255195531496,0.983608373301372,0.898563314369427
residential,SO2,1,new england,28.8568932923559,24.8251833060972,19.6584390881706,16.1692410075284,13.7736357890066,0.860286069418061,0.681238929257089,0.560325078784958,0.477308338408528
commercial,VOC,1,new england,0.599304073077418,0.501910691011212,0.516345442830483,0.542818346021067,0.584133182954049,0.837489203825878,0.861575060184485,0.905747800500842,0.974685821764124
residential,VOC,1,new england,37.9242689193767,30.5179406006271,25.3065855048421,21.0133397260952,17.9540705120127,0.804707420082516,0.667292639408329,0.554086876948571,0.473419027540948
industrial,BC,1,northeast,18.5766749148663,15.540264044299,13.58561547392,12.666215802874,8.443901833569,0.836547127810403,0.73132654450705,0.681834389680665,0.454543230813153
industrial,CH4,1,northeast,1123.39116666667,1154.539,1180.923,1195.567,1191.102,1.02772661407491,1.05121264528369,1.06424817594702,1.06027360312459
industrial,CO,1,northeast,148.848955396828,153.238599267409,145.949634116094,149.192998805377,154.66523600771,1.02949059238527,0.980521722352674,1.00231135924086,1.03907505158754
industrial,CO2,1,northeast,1123.39116666667,1154.539,1180.923,1195.567,1191.102,1.02772661407491,1.05121264528369,1.06424817594702,1.06027360312459
industrial,NOX,1,northeast,215.107515037158,197.728290952044,190.544867298315,189.599497369283,176.427710858337,0.919206801853893,0.88581222866807,0.881417356973937,0.820183854701035
industrial,OC,1,northeast,2.649333202157,2.512773531328,2.226150733485,2.091633356992,1.547595608636,0.94845507891653,0.840268310408272,0.789494260400716,0.584145326596141
industrial,PM10.PRI,1,northeast,54.4287959854388,46.69547267191,42.297260377698,40.539412978261,30.339007002561,0.857918530558756,0.777111813919486,0.74481553825123,0.557407277770346
